order_id,created_date,total_paid
241423,2017-11-06 13:10:02,136.15
242832,2017-12-31 17:40:03,15.76
243330,2017-02-16 10:59:38,84.98
245275,2017-06-28 11:35:37,149.0
245595,2017-01-21 12:52:47,112.97
245941,2017-01-01 10:32:23,183.52
246018,2017-02-13 23:02:57,211.95
246405,2017-11-24 10:01:27,407.96
247524,2018-01-09 14:21:34,167.98
247643,2017-05-26 11:50:35,153.54
250275,2017-11-19 22:34:54,54.99
251302,2017-05-10 12:27:33,140.99
251688,2017-11-24 23:57:07,505.76
251969,2017-11-21 21:04:12,610.07
253220,2017-10-04 19:37:10,1610.0
253306,2017-10-04 14:14:45,497.68
253307,2017-09-30 06:11:10,292.04
254301,2017-01-08 13:10:53,35.91
254341,2017-07-31 10:25:35,34.98
254441,2017-05-09 14:00:45,56.98
254816,2017-01-12 15:57:20,283.83
256158,2017-08-05 19:51:20,386.18
256679,2017-11-26 10:43:04,20.58
256799,2018-02-16 09:44:42,20.97
257280,2017-12-20 14:49:52,260.0
257847,2017-11-23 23:46:54,1367.11
258155,2018-01-22 18:51:50,40.76
258530,2017-08-30 10:54:18,7.78
258985,2017-07-31 12:52:38,2264.6
259192,2017-11-09 11:15:51,195.74
259283,2017-12-22 09:19:28,24.98
259668,2017-10-06 22:06:58,1132.33
260615,2017-01-10 18:59:49,225.16
261289,2017-06-21 08:21:20,192.98
261656,2017-08-24 19:28:24,44.98
261978,2017-01-10 00:19:44,109.98
262016,2017-08-18 01:05:38,3109.57
262236,2017-06-05 10:02:29,122.97
263733,2017-02-06 13:06:34,372.98
263738,2017-08-16 17:05:25,80.96
263996,2017-02-20 09:44:55,156.98
264244,2018-01-29 15:33:06,141.97
265614,2017-01-16 15:40:05,147.48
265951,2017-01-26 12:08:46,121.46
265954,2017-10-02 15:18:15,127.02
265968,2017-09-04 18:32:57,470.33
266727,2017-01-30 15:03:51,150.02
267014,2017-11-22 12:00:54,302.39
267194,2017-12-19 21:22:34,75.98
267375,2017-01-10 22:58:11,17.98
268174,2017-02-13 22:15:52,723.69
268234,2017-11-24 09:33:02,84.17
268629,2017-01-31 11:27:25,73.23
268659,2017-01-20 16:19:32,279.99
268700,2017-05-10 16:43:17,407.59
269083,2017-12-01 23:52:02,139.27
269440,2017-01-18 19:15:00,213.98
272512,2018-03-04 11:35:15,114.98
274043,2017-01-02 16:33:47,3.98
274166,2017-01-21 12:52:28,170.99
274550,2017-01-09 15:17:53,118.92
277363,2017-01-17 23:33:59,29.99
277367,2017-01-11 17:07:00,179.98
277994,2017-01-23 18:30:11,52.99
278926,2017-11-23 11:06:39,795.85
279632,2017-02-13 19:45:18,219.67
279755,2017-01-08 22:25:24,2616.99
279891,2017-01-16 22:59:07,64.99
280008,2017-02-03 10:43:59,174.97
280867,2018-01-08 14:38:24,34.98
281222,2017-04-21 19:23:10,24.98
281302,2017-01-13 19:21:52,16.98
281492,2017-08-28 18:46:58,72.97
281497,2017-01-05 12:16:45,697.72
282180,2018-01-06 16:28:49,59.99
282487,2017-01-25 18:13:49,130.44
282776,2017-08-09 11:02:48,42.99
284200,2017-01-17 13:43:48,49.94
284739,2017-01-09 16:42:59,342.97
285098,2017-07-25 22:17:09,3047.6
285115,2017-11-27 20:57:28,120.73
285582,2017-12-18 19:04:40,56.98
286098,2017-01-16 14:34:55,553.98
286842,2017-01-02 22:43:59,79.99
286974,2017-01-31 21:00:10,117.4
287311,2017-01-29 22:56:57,54.99
287733,2017-06-21 12:38:47,3385.99
287780,2017-01-01 21:32:41,94.23
288502,2017-01-22 13:09:26,351.97
288567,2017-07-03 23:08:38,24.97
289028,2017-02-15 10:45:22,267.98
289387,2017-07-25 17:05:17,58.28
289685,2017-01-09 23:15:07,15.95
290018,2017-01-05 15:07:06,819.99
290223,2017-01-12 12:16:07,171.98
290383,2017-01-23 12:29:12,114.98
290393,2017-09-24 11:41:23,318.93
290487,2017-01-08 23:04:13,19.97
290755,2018-02-13 10:17:49,540.16
291147,2017-02-09 12:08:58,49.98
291378,2017-01-06 12:15:18,34.97
292183,2017-11-24 02:05:50,71.48
293164,2017-11-23 18:05:25,54.99
293265,2017-01-30 14:26:11,446.45
293308,2017-01-01 13:33:43,2635.47
294278,2018-03-04 20:04:01,173.98
294377,2017-10-05 23:10:10,687.21
294617,2017-01-14 11:41:48,120.2
294699,2017-05-29 00:01:35,33.98
295228,2017-01-23 12:29:11,85.99
295304,2017-01-09 03:30:21,51.98
295347,2017-01-01 02:02:38,72.19
295723,2017-01-08 15:04:58,39.98
296010,2017-01-09 23:47:00,0.0
296036,2017-01-23 19:23:53,233.97
296157,2017-01-05 20:07:26,81.97
296229,2017-01-03 03:10:06,132.98
296253,2017-01-10 11:43:43,308.95
296271,2017-01-04 08:30:01,23.98
296436,2017-01-11 10:09:27,387.6
296478,2017-10-06 14:03:48,1515.58
296502,2017-01-01 21:21:57,71.57
296611,2017-01-02 05:41:19,112.99
296847,2017-01-15 18:31:58,30.97
297076,2017-01-03 17:03:42,46.88
297148,2017-01-01 16:42:24,4069.54
297200,2017-01-19 02:21:44,64.97
297220,2017-01-07 15:15:29,112.98
297375,2017-01-04 11:31:57,38.79
297572,2017-01-27 23:59:50,51.99
297765,2017-09-26 13:40:50,1805.59
297809,2017-01-01 12:07:38,18.23
297844,2017-01-05 13:54:44,144.89
297851,2017-01-31 23:59:58,75.78
297861,2017-01-02 18:09:25,59.9
298038,2017-07-04 17:10:48,266.95
298161,2017-01-02 10:20:14,327.99
298211,2017-04-25 14:52:58,89.99
298374,2017-01-02 12:07:07,62.99
298391,2017-01-01 12:18:28,2919.98
298506,2017-01-17 09:12:26,46.98
298571,2017-01-02 12:19:03,123.99
298617,2017-05-08 21:22:04,175.96
298634,2017-01-01 14:44:29,72.54
298643,2017-01-14 16:52:22,68.98
298859,2017-01-02 11:32:47,54.99
298878,2017-01-01 21:46:10,62.98
298908,2017-01-04 22:27:58,20.89
298921,2017-01-01 22:55:45,73.48
298923,2017-02-15 16:13:52,63.94
299189,2017-01-02 00:04:53,71.97
299277,2017-01-12 16:05:28,231.97
299404,2017-01-01 22:59:31,415.11
299466,2017-01-01 22:56:21,1758.0
299545,2017-01-01 01:51:47,51.48
299546,2017-01-01 01:57:34,18.99
299549,2017-01-02 10:00:20,2565.99
299556,2017-01-01 02:30:08,65.89
299561,2017-01-01 02:39:47,154.48
299563,2017-01-01 02:47:58,263.48
299564,2017-01-01 02:50:18,23.98
299571,2017-01-01 12:07:29,323.22
299578,2017-01-01 13:00:05,142.49
299579,2017-01-01 09:09:39,134.07
299586,2017-01-01 09:21:29,47.98
299597,2017-01-01 19:19:57,149.48
299600,2017-01-01 11:56:17,4607.62
299608,2017-01-01 10:56:05,71.48
299609,2017-01-01 10:56:02,474.05
299610,2017-01-01 11:00:40,152.97
299623,2017-01-01 11:35:46,41.04
299634,2017-01-01 12:34:20,825.51
299637,2017-01-01 12:19:27,57.18
299638,2017-01-01 12:02:15,380.22
299648,2017-01-01 12:27:29,360.29
299650,2017-01-02 19:28:30,65.99
299655,2017-01-01 12:43:56,203.62
299659,2017-01-01 12:45:54,79.98
299664,2017-01-01 20:08:09,1351.99
